,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,99,"['43', '41', '42', '41', '42', '0', '40', '41', '38', '38', '40', '0', '0', '36', '0', '0', '0', '40', '39', '38', '39', '39', '41', '39', '39', '41', '0', '0', '39', '0', '38', '38', '0', '50', '37', '38', '37', '0', '37', '39', '49', '39', '39', '49', '38', '38', '39', '37', '38', '45', '38', '0', '37', '45', '38', '52', '38', '38', '52', '39', '0', '37', '45', '0', '37', '37', '0', '37', '0', '37', '37', '52', '39', '37', '52', '0', '0', '0', '32', '0', '8', '7', '6', '9', '7', '10', '7', '8', '9', '7', '9', '10', '7', '6', '5']",6726.171875
0,optimistic,200,68,"['43', '41', '42', '41', '42', '0', '40', '41', '38', '38', '40', '0', '0', '31', '30', '30', '30', '30', '29', '30', '30', '54', '27', '35', '52', '52', '52', '52', '52', '52', '0', '47', '47', '0', '0', '46', '45', '44', '36', '0', '8', '6', '9', '7', '8', '7', '10', '9', '8', '6', '5']",3525.671875
0,optimistic,400,36,"['53', '51', '52', '51', '52', '0', '50', '51', '48', '48', '50', '0', '0', '63', '0', '0', '0', '9', '10', '9', '7', '8', '9', '10', '8', '9', '7', '6', '9', '7', '6', '5']",1689.234375
0,optimistic,600,33,"['34', '32', '33', '32', '33', '0', '31', '32', '29', '29', '31', '0', '0', '27', '0', '0', '0', '6', '5', '6', '7', '9', '7', '6', '5']",1332.78125
0,optimistic,800,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0', '0', '0']",890.140625
0,optimistic,1000,58,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0', '2', '7', '9', '7', '9', '10', '7', '8', '6', '9', '7', '7', '6', '9', '7', '8', '6', '9', '7', '6', '9', '7', '9', '7', '7', '9', '7', '7', '7', '7', '6', '9', '8', '6', '5']",1178.6875
0,optimistic,1200,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0']",883.4375
0,optimistic,1400,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0']",894.09375
0,optimistic,1600,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0']",820.140625
0,optimistic,1800,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0']",801.5625
0,optimistic,2000,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0']",755.421875
0,optimistic,2200,22,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '8', '0', '0']",748.40625
