,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,27,"['295', '579', '0', '176', '139', '0', '0', '0', '0', '12', '8', '0', '0', '13', '0', '0', '7', '8', '10', '6', '7', '0', '0']",8094.875
0,optimistic,200,51,"['451', '558', '0', '0', '121', '106', '120', '169', '153', '109', '0', '0', '0', '104', '0', '99', '0', '72', '0', '0', '7', '8', '7', '100', '99', '79', '23', '0', '6', '2', '19', '29', '22', '38', '9', '7', '29', '15', '14', '16', '6', '5']",14004.21875
0,optimistic,400,28,"['449', '322', '399', '199', '180', '0', '134', '0', '74', '62', '0', '7', '0', '13', '0', '0', '7', '8', '10', '6', '7', '0', '0']",12866.609375
0,optimistic,600,29,"['53', '67', '0', '0', '46', '22', '21', '40', '24', '0', '12', '0', '0', '7', '99', '109', '179', '0', '79', '23', '0', '6']",3353.140625
0,optimistic,800,27,"['53', '46', '0', '0', '33', '22', '21', '29', '24', '0', '7', '7', '94', '10', '17', '0', '17', '10', '0', '0', '15']",1795.25
0,optimistic,1000,47,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6', '0', '2', '19', '29', '15', '21', '6', '29', '14', '7', '29', '15', '21', '6', '29', '15', '6', '29', '22', '15', '21', '38', '21', '14', '16', '6', '5']",2222.265625
0,optimistic,1200,20,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6']",1634.484375
0,optimistic,1400,20,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6']",1614.15625
0,optimistic,1600,20,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6']",1619.390625
0,optimistic,1800,20,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6']",1574.03125
0,optimistic,2000,20,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6']",1491.109375
0,optimistic,2200,20,"['53', '46', '0', '0', '33', '22', '21', '24', '24', '0', '7', '7', '79', '10', '6']",1454.359375
