,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,81,"['47', '46', '47', '46', '45', '0', '42', '44', '0', '44', '45', '42', '42', '0', '42', '44', '0', '44', '0', '0', '39', '39', '85', '35', '30', '29', '29', '29', '28', '29', '29', '0', '43', '0', '106', '78', '0', '0', '59', '56', '58', '58', '0', '58', '56', '0', '56', '56', '0', '0', '56', '0', '0', '32', '0', '9', '6', '9', '7', '9', '9', '6', '5', '2', '7', '9', '7', '7', '6', '5']",8684.015625
0,optimistic,200,78,"['81', '80', '81', '80', '79', '0', '76', '78', '0', '40', '0', '36', '30', '29', '29', '10', '29', '29', '28', '29', '0', '0', '49', '0', '51', '0', '0', '53', '49', '54', '51', '0', '52', '54', '0', '26', '0', '25', '23', '22', '26', '26', '0', '26', '24', '0', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '0', '5', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '0']",6600.671875
0,optimistic,400,69,"['91', '90', '91', '90', '89', '0', '86', '88', '0', '100', '100', '100', '100', '65', '35', '44', '0', '47', '46', '49', '48', '0', '47', '0', '36', '49', '0', '52', '54', '56', '0', '52', '0', '0', '53', '49', '0', '49', '49', '30', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '0', '8', '7', '7', '6', '5']",6971.34375
0,optimistic,600,28,"['91', '71', '91', '71', '89', '0', '86', '88', '0', '45', '0', '47', '46', '0', '36', '0', '8', '7', '6', '9', '7', '6', '5']",3637.203125
0,optimistic,800,49,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '27', '27', '26', '0', '67', '66', '0', '0', '8', '9', '7', '6', '9', '8', '10', '7', '9', '9', '10', '6', '9', '7', '8', '7', '9', '7', '6', '9', '8', '7', '6', '5']",2598.59375
0,optimistic,1000,32,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '12', '10', '0', '0', '7', '7', '9', '7', '6', '5']",1389.265625
0,optimistic,1200,50,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '7', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0', '4', '0', '2', '7', '9', '7', '8', '10', '7', '9', '9', '7', '7', '6', '5']",1604.71875
0,optimistic,1400,45,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '7', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0', '2', '7', '9', '7', '6', '9', '7', '6', '5']",1473.96875
0,optimistic,1600,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '7', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",1717.125
0,optimistic,1800,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '7', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",1703.6875
0,optimistic,2000,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '7', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",1615.96875
0,optimistic,2200,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '7', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",1591.703125
